T..Majority.protein.IDs	DomA_c_1_mean	DomA_c_2_mean	DomA_c_3_mean	DomB_c_1_mean	DomB_c_2_mean	DomB_c_3_mean	CTRL_c_1_mean	CTRL_c_2_mean	CTRL_c_3_mean
Q9VPJ7	28.1497	28.33933333	28.48033333	28.15203333	27.4731	29.14236667	28.27263333	28.4959	28.28816667
Q9VPL0	27.7921	28.45023333	27.7132	28.2569	27.53706667	27.75963333	28.21936667	27.9084	28.07263333
Q9VPL5	27.90793333	27.4574	27.05456667	27.07286667	26.56316667	27.46043333	27.20956667	27.83886667	27.82123333
Q9VPM0	23.60153333	23.65803333	23.96706667	23.40543333	23.85753333	24.32003333	24.13013333	25.27333333	24.7903
Q9VPM5	29.09316667	28.64016667	29.31103333	29.06206667	28.659	28.85806667	29.7212	30.18076667	30.71953333
Q9VPM7	29.71003333	29.77223333	29.22993333	29.78156667	29.4136	29.53116667	29.43813333	29.7656	29.49366667
Q9VPN5	28.40776667	27.86556667	27.91293333	27.1669	27.376	28.69593333	28.08346667	28.456	27.29873333
Q9VPQ2	29.6725	28.9939	28.7171	28.87366667	29.2393	29.2101	28.92963333	29.02063333	28.4917
Q9VPQ6	25.32506667	26.06303333	25.58363333	25.83816667	23.2281	25.82863333	26.32993333	26.26536667	26.11123333
Q9VPQ7	28.91596667	28.925	29.02883333	28.65303333	28.84396667	28.7607	29.01293333	29.16103333	28.99846667
Q9VPQ8	27.10296667	27.85033333	28.5555	27.8208	26.9262	28.1987	28.07486667	27.36656667	26.51756667
Q9VPR1	27.74703333	26.50603333	28.0374	25.1424	28.1644	27.76933333	27.83533333	27.72993333	26.22963333
Q9VPR4	24.24803333	24.37163333	26.3478	23.69546667	23.38086667	24.3594	24.9146	24.33703333	23.95683333
Q9VPR5	27.8528	28.20653333	28.17996667	28.23743333	28.07783333	28.2892	28.29533333	28.36356667	28.30043333
Q9VPT3	29.11703333	29.0942	29.30633333	29.45226667	29.41606667	29.2756	28.82723333	29.1449	29.51173333
Q9VPT8	26.8989	27.5085	26.97946667	27.57896667	27.67893333	27.19356667	27.59843333	27.56383333	27.73103333
Q9VPT9	30.13896667	30.05373333	29.3384	29.23493333	25.69866667	30.4643	29.41836667	29.00643333	27.39573333
Q9VPU1	27.7662	27.3955	26.53753333	27.28583333	25.3642	27.8577	27.40433333	27.36766667	27.457
Q9VPU8	25.3086	25.1721	25.44056667	25.41056667	25.38393333	25.4761	25.79456667	26.22456667	26.51806667
Q9VPW1	27.3866	27.77013333	27.8096	27.88426667	27.9624	27.74956667	27.56876667	27.9399	28.3818
Q9VPX3	25.6953	25.97216667	27.07146667	26.31553333	26.27386667	26.80933333	26.47343333	26.68696667	26.83543333
Q9VPX4	25.34103333	24.52613333	24.36393333	23.70936667	23.27973333	24.29293333	23.94106667	24.741	25.56846667
Q9VPX5	27.53296667	26.51073333	27.08986667	26.18596667	25.97603333	27.59113333	27.35166667	27.2033	26.1054
Q9VPX6	29.06726667	27.10123333	29.0399	27.26163333	27.46156667	29.41133333	28.05	28.549	25.72663333
Q9VPY0	26.94773333	27.30896667	27.31046667	27.45466667	27.34633333	27.09553333	26.72853333	26.85226667	26.84743333
Q9VPY2	24.9932	24.4784	23.97253333	24.5588	23.8047	25.4016	23.7044	24.8524	24.18636667
Q9VPY3	25.61876667	25.57763333	26.03623333	24.78953333	25.76326667	25.7878	26.0404	25.49723333	25.875
Q9VPY4	33.05023333	32.98126667	32.9368	32.91936667	33.4328	32.25023333	32.88526667	32.7126	32.6605
Q9VQ27	26.34426667	27.7339	27.21523333	23.7648	23.13716667	27.46866667	27.44863333	28.13313333	28.06836667
Q9VQ29	31.62583333	31.9683	31.45583333	31.6058	31.4784	31.76663333	31.1155	31.687	30.9433
Q9VQ30	24.96163333	25.69143333	24.12246667	25.65886667	24.2821	25.5325	24.74656667	25.29826667	24.21833333
Q9VQ34	26.48186667	24.42926667	24.21263333	23.70546667	26.65396667	25.78483333	23.8564	24.01233333	24.1398
Q9VQ39	27.05963333	26.41093333	26.69843333	26.69633333	26.36133333	26.8932	26.58703333	27.12286667	26.8283
Q9VQ40	26.25906667	25.96013333	26.6483	25.96963333	25.86266667	26.23063333	25.9648	26.89536667	26.9188
Q9VQ57	25.98586667	23.97383333	26.18796667	25.7342	26.0124	25.70393333	25.3073	26.13373333	26.38253333
Q9VQ58	27.6304	28.37116667	26.43176667	28.02783333	26.58603333	27.40286667	27.6054	27.85383333	27.831
Q9VQ77	24.2063	24.04943333	23.79023333	25.1457	25.0775	24.3757	25.43846667	25.5579	25.7112
Q9VQ79	29.11163333	28.94463333	28.3781	28.8062	28.6566	28.7234	29.16503333	29.63103333	29.9047
Q9VQ89	26.86146667	27.13633333	26.5234	27.11916667	27.10113333	27.1906	26.76466667	27.4008	27.21873333
Q9VQ91	27.76633333	27.22193333	27.60183333	27.46753333	27.93523333	27.6767	27.88553333	28.41446667	28.53256667
Q9VQD8	23.94733333	25.48956667	24.38436667	24.57866667	24.39566667	24.02613333	25.8684	24.2004	24.60156667
Q9VQE0	24.3292	23.89923333	24.2082	24.38963333	23.6206	24.85373333	24.6415	24.8859	24.20316667
Q9VQF5	31.50786667	32.0979	32.106	31.97433333	32.34413333	31.52476667	32.08063333	31.94663333	31.96463333
Q9VQG4	27.50143333	27.24753333	27.56713333	27.18486667	27.5015	27.4197	27.6438	27.81053333	27.9204
Q9VQI2	24.4222	25.73436667	25.03686667	25.4514	26.15286667	24.38386667	24.34726667	24.034	25.31576667
Q9VQI5	25.3992	25.6617	25.8468	25.60756667	26.28326667	25.82833333	24.3372	25.11293333	25.40643333
Q9VQI9	25.13753333	24.7825	24.4663	24.85956667	24.5396	24.57163333	24.4908	24.7184	25.21453333
Q9VQJ6	29.89843333	30.47743333	30.21686667	30.35373333	30.0184	29.6154	30.4401	30.1856	30.40016667
Q9VQK5	33.9308	34.0103	33.72536667	34.0067	34.31096667	33.48236667	34.10646667	34.28833333	34.10003333
Q9VQK7	24.61623333	24.7508	24.24463333	24.45223333	24.69383333	24.50473333	24.87733333	24.41936667	24.57156667
Q9VQL1	27.5139	26.47083333	26.5299	26.48743333	25.3368	27.66403333	26.89193333	26.9671	26.02
Q9VQQ6	24.23523333	24.06123333	23.85056667	23.43783333	23.9839	24.64753333	24.5692	23.91033333	23.8473
Q9VQR2	24.33513333	25.38206667	25.54653333	24.65666667	25.10783333	24.55	27.0975	24.8062	25.85656667
Q9VQR8	28.85043333	30.76643333	29.85253333	30.84923333	31.17553333	30.69063333	31.3846	31.11883333	31.22643333
Q9VQR9	28.4968	28.48953333	28.79833333	28.40776667	28.75316667	28.34296667	28.40146667	28.5865	28.66473333
Q9VQS4	34.38306667	36.6069	34.6666	36.20173333	35.7453	35.2753	36.61743333	35.62706667	35.4856
Q9VQW7	26.59936667	26.4843	25.69416667	26.12323333	23.72336667	27.8926	27.3934	24.4657	24.13833333
Q9VQX4	26.87833333	26.41113333	26.8107	26.4765	27.64346667	26.31616667	26.1052	26.21306667	25.28423333
Q9VQX6	28.18403333	27.67713333	27.75453333	28.09336667	27.8419	28.14666667	27.73006667	28.33416667	27.91446667
Q9VQZ0	25.76666667	25.60966667	26.46903333	25.505	25.6316	26.2425	25.56036667	26.03263333	25.9676
Q9VQZ1	25.8864	25.9692	26.5031	25.6411	25.21923333	26.49293333	25.8563	25.33406667	24.75393333
